"품목코드","품목명[규격]","단위","출고단가","입고단가","단위당수량","검색창내용","사용구분","표준단가","적요"
"000002",벌브7W(LED)전구,EA,"15,000","13,000","	","	","YES",0,"	"
"000003",벌브10W(LED)주광,EA,"1,200",870,*일신코드:39473,"	","YES",0,"	"
"000014",벌브12W(LED)주광,EA,"1,700","1,100",*,"	","YES",0,"두리산업=1,100원/21.09.23일신=800원/21.12	"
"000015",벌브8W(LED)주광/비츠온,EA,"5,000",800,*,"	","YES	",0,"	"
"000022",벌브30W(LED)주광/비츠온,EA,"5,000","8,000",*,"	","YES",0,"	"
"000023",벌브8W(LED)주광,EA,"5,000","1,000",*,"	","YES",0,"	"
"000025","LED삼파장형램프50W주광색(대모갈)	",EA,"29,000","22,000",*,"	","YES",0,"	"
"000036",할로겐램프LED5W,EA,"4,200","3,240",*,"	","YES	",0,"입고단가=일신비츠온/2021.02"
"000040","할로겐램프MR16/12V(LED4W)	",EA,"8,000","1,200",*,"	","YES",0,"	"
"000048",LED모듈(7M)주광,EA,"45,000","17,500",*,"	","YES",0,"	"
